,Bond Nav (Net),Cash for Coupon Payment,Cash for New Issuance,Bond Nav,Bond PnL,Bond Return,Bond Return Cumulative,Hedge Nav,Hedge PnL,Hedge Return,Total Return Daily,Total Return Cumulative,Difference in Return,Same Direction
2019-11-19,21544281.25000000,589625.00000000,11966640.00000000,34100546.25000000,-61969.02777778,-0.00181395,-0.00114528,24546889.91718514,279419.54411374,0.00537516,0.00649428,0.04266269,-0.04380797,0
2019-11-20,21545402.22222222,619000.00000000,11966640.00000000,34131042.22222222,30495.97222222,0.00089430,-0.00025201,24870717.76263713,323827.84545200,0.00616644,0.01051380,0.05362504,-0.05387705,1
2019-11-21,21517946.38888889,619000.00000000,11966640.00000000,34103586.38888890,-27455.83333333,-0.00080442,-0.00105623,24706216.89845269,-164500.86418444,-0.00306811,-0.00563664,0.04768613,-0.04874236,1
2019-11-22,22451990.55555555,619000.00000000,10976490.00000000,34047480.55555555,-56105.83333334,-0.00164516,-0.00269966,24662712.48578529,-43504.41266740,-0.00091145,-0.00294155,0.04460431,-0.04730397,1
2019-11-25,22480873.05555556,619000.00000000,10976490.00000000,34076363.05555555,28882.50000000,0.00084830,-0.00185364,24642678.21129888,-20034.27448641,-0.00049677,0.00026206,0.04487806,-0.04673171,0
2019-11-26,22463667.22222222,619000.00000000,10976490.00000000,34059157.22222222,-17205.83333333,-0.00050492,-0.00235763,24752549.86339566,109871.65209678,0.00199668,0.00274383,0.04774503,-0.05010266,0
2019-11-27,22466111.38888889,619000.00000000,10976490.00000000,34061601.38888889,2444.16666666,0.00007176,-0.00228604,24648826.68681246,-103723.17658320,-0.00196558,-0.00299066,0.04461158,-0.04689762,0
2019-11-28,22470285.55555555,619000.00000000,10976490.00000000,34065775.55555555,4174.16666666,0.00012255,-0.00216377,24645389.18681246,-3437.50000000,-0.00006875,0.00002182,0.04463437,-0.04679814,0
2019-11-29,22380429.72222222,619000.00000000,10976490.00000000,33975919.72222222,-89855.83333333,-0.00263772,-0.00479578,24605864.67530453,-39524.51150793,-0.00071393,-0.00383184,0.04063150,-0.04542728,1
2019-12-02,22297032.22222222,656500.00000000,10976490.00000000,33930022.22222222,-45897.50000000,-0.00135088,-0.00614018,24281378.43934764,-324486.23595689,-0.00602685,-0.01101180,0.02917228,-0.03531246,1
2019-12-03,21765984.72222222,656500.00000000,10976490.00000000,33398974.72222222,-531047.50000000,-0.01565126,-0.02169534,24863254.25621063,581875.81686299,0.01105781,0.00152799,0.03074485,-0.05244018,0
2019-12-04,21812167.22222222,688750.00000000,10976490.00000000,33477407.22222222,78432.50000000,0.00234835,-0.01939793,24529543.46559706,-333710.79061358,-0.00628769,-0.00766242,0.02284684,-0.04224478,0
2019-12-05,21782479.72222222,737500.00000000,10976490.00000000,33496469.72222222,19062.50000000,0.00056941,-0.01883957,24403943.69624926,-125599.76934779,-0.00234986,-0.00322251,0.01955071,-0.03839028,0
2019-12-06,21758732.22222222,737500.00000000,10976490.00000000,33472722.22222222,-23747.50000000,-0.00070896,-0.01953516,24195801.23109595,-208142.46515331,-0.00399270,-0.00703682,0.01237632,-0.03191148,1
2019-12-09,21725249.72222222,737500.00000000,10976490.00000000,33439239.72222222,-33482.50000000,-0.00100029,-0.02051592,24308905.44902154,113104.21792558,0.00220179,0.00243328,0.01483972,-0.03535563,0
2019-12-10,21715412.22222222,737500.00000000,10976490.00000000,33429402.22222222,-9837.50000000,-0.00029419,-0.02080407,24307987.15919121,-918.28983032,-0.00002045,-0.00032791,0.01450694,-0.03531101,1
2019-12-11,21672384.72222222,737500.00000000,10976490.00000000,33386374.72222222,-43027.50000000,-0.00128712,-0.02206441,24230027.76260946,-77959.39658175,-0.00178704,-0.00368966,0.01076376,-0.03282817,1
2019-12-12,21620347.22222222,737500.00000000,10976490.00000000,33334337.22222222,-52037.50000000,-0.00155864,-0.02358866,23737123.22945842,-492904.53315104,-0.00931263,-0.01668030,-0.00609609,-0.01749257,1
2019-12-13,21747619.72222222,737500.00000000,10976490.00000000,33461609.72222222,127272.50000000,0.00381806,-0.01986067,24014709.41168303,277586.18222461,0.00526984,0.01260266,0.00642975,-0.02629041,1
2019-12-16,21805417.22222222,737500.00000000,10976490.00000000,33519407.22222222,57797.50000000,0.00172728,-0.01816769,23691233.48913231,-323475.92255071,-0.00619591,-0.00816726,-0.00179002,-0.01637767,0
2019-12-17,21917039.72222222,737500.00000000,10976490.00000000,33631029.72222222,111622.50000000,0.00333009,-0.01489811,23641509.58842121,-49723.90071110,-0.00095909,0.00191850,0.00012505,-0.01502315,0
2019-12-18,21991202.22222222,737500.00000000,10976490.00000000,33705192.22222222,74162.50000000,0.00220518,-0.01272578,23383075.19325466,-258434.39516655,-0.00496388,-0.00570044,-0.00557610,-0.00714968,0
2019-12-19,21997704.72222222,737500.00000000,10976490.00000000,33711694.72222222,6502.50000000,0.00019292,-0.01253531,23432463.34987379,49388.15661913,0.00095486,0.00173889,-0.00384691,-0.00868840,1
2019-12-20,22065537.22222222,737500.00000000,10976490.00000000,33779527.22222222,67832.50000000,0.00201214,-0.01054840,23751190.44255444,318727.09268065,0.00634625,0.01200587,0.00811277,-0.01866117,1
2019-12-23,22098684.72222222,737500.00000000,10976490.00000000,33812674.72222222,33147.50000000,0.00098129,-0.00957746,23696125.47846483,-55064.96408961,-0.00106890,-0.00067264,0.00743467,-0.01701213,0
2019-12-24,22124167.22222222,737500.00000000,10976490.00000000,33838157.22222222,25482.50000000,0.00075364,-0.00883104,23753580.89754397,57455.41907915,0.00108800,0.00254706,0.01000067,-0.01883171,1
2019-12-25,22125829.72222222,737500.00000000,10976490.00000000,33839819.72222222,1662.50000000,0.00004913,-0.00878234,23750143.39754397,-3437.50000000,-0.00006875,-0.00005437,0.00994575,-0.01872810,0
2019-12-26,22104202.22222222,737500.00000000,10976490.00000000,33818192.22222222,-21627.50000000,-0.00063911,-0.00941584,23777132.70239624,26989.30485226,0.00048463,0.00016425,0.01011164,-0.01952749,0
2019-12-27,22113694.72222222,737500.00000000,10976490.00000000,33827684.72222222,9492.50000000,0.00028069,-0.00913780,23784331.71349824,7199.01110201,0.00011759,0.00051125,0.01062806,-0.01976585,1
